Metric,Definition
Average Daily Census,The average number of inpatients hospitalized per time period. The calculation is the sum of patient days divided by number of days in data (projection) or number of days in the month (actual).
Average Length of Stay,"The average number of days an inpatient is hospitalized based on discharge date. The calculation is the total number of JMH Days divided by the total number discharges. Excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
Charges,The sum of charges by postdate. 
Collections,"The sum of payments less refunds by postdate. Sum of Epic HTR transaction amount filtered to transaction type of 2 (payments) less refunds (transaction codes 3004, 4007, 5014, 6009, 6014, 6015, 6018). HTR.INI 300"
Discharges,"The sum of inpatients accounts by discharge date, excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
ED Visits,"The sum of ED Level Billed Units of Service by postdate filtered to ED cost centers and billed CPT codes  99281, 99282, 99283, 99284, 99285, 99291, 99292 (ED level charge codes)."
GMLOS*,"Geometric Mean Length of Stay defined by CMS is the average length of hospital stays, taking into account the severity of illness and resource utilization of patients. MIP filters are applied to this calculation for this dashboard. It is calculated by taking the geometric mean of the individual lengths of stay for patients within a specific diagnosis-related group (DRG). MIP filters -  inpatient age greater than 17, coded accounts, excludes inpatients with MS DRG of 0 or 998, excludes deceased organ donors and hospice patients, excludes Strata service line 4 - inpatient rehab, womens services, and well newborns; 65-110 Rehabilitation, 70-110 Cesarean Sections, 70-115 Vaginal Deliveries, 70-120 Other OB Perinatology, 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
O/E,"The calculation used to compare averge length of stay to the benchmark, GMLOS.  Margin Improvement Project, MIP, filters are applied for this dashboard. The calculation is Observed Length of Stay divided by Expected Length of Stay, ALOS/GMLOS. "
Patient Days,"The sum of billed units of services by postdate filtered to inpatients with UB revenue codes 0121-0169, 0172-0208; these UB revenue code are patient day charge codes.  Well newborns are excluded as defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
Surgical Procedures - Inpatient,"The sum of surgery billed units of service by post date filtered to surgery department, inpatients, and base level charge codes. "
Surgical Procedures - Outpatient,"The sum of surgery billed units of service by post date filtered to surgery department, outpatients, and base level charge codes. "
wRVUs,"Worked RVUs, relative value unit, represents the time, skill, and intensity required to perform a medical service or procedure as defined by CMS. The sum of worked RVUs by post date filtered to Physician Network (FPO) transactions."
Discharges MIP,"The sum of inpatients accounts by discharge date with MIP filters applied -  inpatient age greater than 17, coded accounts, excludes inpatients with MS DRG of 0 or 998, excludes deceased organ donors and hospice patients, excludes Strata service line 4 - inpatient rehab, womens services, and well newborns; 65-110 Rehabilitation, 70-110 Cesarean Sections, 70-115 Vaginal Deliveries, 70-120 Other OB Perinatology, 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
Patient Days MIP,"The sum of billed units of services by postdate filtered to inpatients with UB revenue codes 0121-0169, 0172-0208 with MIP filters applied -  inpatient age greater than 17, coded accounts, excludes inpatients with MS DRG of 0 or 998, excludes deceased organ donors and hospice patients, excludes Strata service line 4 - inpatient rehab, womens services, and well newborns; 65-110 Rehabilitation, 70-110 Cesarean Sections, 70-115 Vaginal Deliveries, 70-120 Other OB Perinatology, 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
ALOS*,"Average number of days an inpatient is hospitalized based on discharge date.  Margin Improvement Project, MIP, filters are applied for this dashboard. The calculation is the total number of JMH Days divided by the total number discharges. Excludes well newborns defined by Strata service line 4: 70-125 Sick Newborns In-born, 70-130 Sick Newborns Out-born, 70-135 Newborns"
